batch_id,index,operation,status,error,message,entity_id,raw_input
44742,104,set_statement,Done,,,Q140794687,"Q140794687|P1343|Q140794954|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2014.68""|S813|+2026-06-18T00:00:00Z/11"
44742,105,set_statement,Done,,,Q140794688,"Q140794688|P1343|Q140794956|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2016.153""|S813|+2026-06-18T00:00:00Z/11"
44742,106,set_statement,Done,,,Q140794689,"Q140794689|P1343|Q140794957|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2012.g-ace""|S813|+2026-06-18T00:00:00Z/11"
44742,107,set_statement,Done,,,Q140794690,"Q140794690|P1343|Q140794958|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2013.61""|S813|+2026-06-18T00:00:00Z/11"
44742,108,set_statement,Done,,,Q140794691,"Q140794691|P1343|Q140794959|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2015.125""|S813|+2026-06-18T00:00:00Z/11"
44742,109,set_statement,Done,,,Q140794692,"Q140794692|P1343|Q140794960|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2013.77""|S813|+2026-06-18T00:00:00Z/11"
44742,110,set_statement,Done,,,Q140794693,"Q140794693|P1343|Q140794961|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2017.197""|S813|+2026-06-18T00:00:00Z/11"
44742,111,set_statement,Done,,,Q140794694,"Q140794694|P1343|Q140794962|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2014.75""|S813|+2026-06-18T00:00:00Z/11"
44742,112,set_statement,Done,,,Q140794695,"Q140794695|P1343|Q140794963|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2013.21""|S813|+2026-06-18T00:00:00Z/11"
44742,113,set_statement,Done,,,Q140794696,"Q140794696|P1343|Q140794964|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2019.273""|S813|+2026-06-18T00:00:00Z/11"
44742,114,set_statement,Done,,,Q140794697,"Q140794697|P1343|Q140794965|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2021.391""|S813|+2026-06-18T00:00:00Z/11"
44742,115,set_statement,Done,,,Q140794699,"Q140794699|P1343|Q140794966|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2019.263""|S813|+2026-06-18T00:00:00Z/11"
44742,116,set_statement,Done,,,Q140794700,"Q140794700|P1343|Q140794967|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2017.201""|S813|+2026-06-18T00:00:00Z/11"
44742,117,set_statement,Done,,,Q140794701,"Q140794701|P1343|Q140794969|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2016.165""|S813|+2026-06-18T00:00:00Z/11"
44742,118,set_statement,Done,,,Q140794703,"Q140794703|P1343|Q140794970|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2020.300""|S813|+2026-06-18T00:00:00Z/11"
44742,119,set_statement,Done,,,Q140794704,"Q140794704|P1343|Q140794971|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2021.298""|S813|+2026-06-18T00:00:00Z/11"
44742,120,set_statement,Done,,,Q140794705,"Q140794705|P1343|Q140794972|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2017.171""|S813|+2026-06-18T00:00:00Z/11"
44742,121,set_statement,Done,,,Q140794706,"Q140794706|P1343|Q140794973|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2014.86""|S813|+2026-06-18T00:00:00Z/11"
44742,122,set_statement,Done,,,Q140794707,"Q140794707|P1343|Q140794974|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2015.126""|S813|+2026-06-18T00:00:00Z/11"
44742,123,set_statement,Done,,,Q140794708,"Q140794708|P1343|Q140794975|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2011.blm-cdf""|S813|+2026-06-18T00:00:00Z/11"
44742,124,set_statement,Done,,,Q140794709,"Q140794709|P1343|Q140794976|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2020.281""|S813|+2026-06-18T00:00:00Z/11"
44742,125,set_statement,Done,,,Q140794711,"Q140794711|P1343|Q140794977|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2021.340""|S813|+2026-06-18T00:00:00Z/11"
44742,126,set_statement,Done,,,Q140794712,"Q140794712|P1343|Q140794978|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2014.97""|S813|+2026-06-18T00:00:00Z/11"
44742,127,set_statement,Done,,,Q140794714,"Q140794714|P1343|Q140794979|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2017.212""|S813|+2026-06-18T00:00:00Z/11"
44742,128,set_statement,Done,,,Q140794715,"Q140794715|P1343|Q140794980|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2016.124""|S813|+2026-06-18T00:00:00Z/11"
44742,129,set_statement,Done,,,Q140794716,"Q140794716|P1343|Q140794981|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2016.175""|S813|+2026-06-18T00:00:00Z/11"
44742,130,set_statement,Done,,,Q140794717,"Q140794717|P1343|Q140794982|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2018.213""|S813|+2026-06-18T00:00:00Z/11"
44742,131,set_statement,Done,,,Q140794718,"Q140794718|P1343|Q140794983|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2012.g-tvi""|S813|+2026-06-18T00:00:00Z/11"
44742,132,set_statement,Done,,,Q140794719,"Q140794719|P1343|Q140794984|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2022.346""|S813|+2026-06-18T00:00:00Z/11"
44742,133,set_statement,Done,,,Q140794720,"Q140794720|P1343|Q140794985|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2012.lps-pae""|S813|+2026-06-18T00:00:00Z/11"
44742,134,set_statement,Done,,,Q140794721,"Q140794721|P1343|Q140794986|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2014.78""|S813|+2026-06-18T00:00:00Z/11"
