article_doi,venue,series_ordinal_P1545,author_name_P2093
10.5201/ipol.2025.535,IPOL,4,Laurent Oudre
10.5201/ipol.2012.g-tvd,IPOL,1,Pascal Getreuer
10.5201/ipol.2014.82,IPOL,1,Ives Rey Otero
10.5201/ipol.2014.82,IPOL,2,Mauricio Delbracio
10.5201/ipol.2020.271,IPOL,1,Tristan Dagobert
10.5201/ipol.2020.271,IPOL,2,Rafael Grompone von Gioi
10.5201/ipol.2020.271,IPOL,3,Carlo de Franchis
10.5201/ipol.2020.271,IPOL,4,Jean-Michel Morel
10.5201/ipol.2020.271,IPOL,5,Charles Hessel
10.5201/ipol.2023.440,IPOL,1,Marie Garin
10.5201/ipol.2023.440,IPOL,2,Gonzalo Iñaki Quintana
10.5201/ipol.2012.t-fscs,IPOL,1,Yohann Tendero
10.5201/ipol.2013.40,IPOL,1,Konstantinos Papafitsoros
10.5201/ipol.2013.40,IPOL,2,Carola Bibiane Schoenlieb
10.5201/ipol.2013.40,IPOL,3,Bati Sengul
10.5201/ipol.2017.179,IPOL,1,Julie Digne
10.5201/ipol.2017.179,IPOL,2,Carlo de Franchis
10.5201/ipol.2013.26,IPOL,1,Javier Sánchez Pérez
10.5201/ipol.2013.26,IPOL,2,Enric Meinhardt-Llopis
10.5201/ipol.2013.26,IPOL,3,Gabriele Facciolo
10.5201/ipol.2017.192,IPOL,1,Alasdair Newson
10.5201/ipol.2017.192,IPOL,2,Noura Faraj
10.5201/ipol.2017.192,IPOL,3,Bruno Galerne
10.5201/ipol.2017.192,IPOL,4,Julie Delon
10.5201/ipol.2016.116,IPOL,1,Thibaud Briand
10.5201/ipol.2016.116,IPOL,2,Jonathan Vacher
10.5201/ipol.2018.228,IPOL,1,Matías Di Martino
10.5201/ipol.2018.228,IPOL,2,Gabriele Facciolo
10.5201/ipol.2024.498,IPOL,1,Franco Marchesoni-Acland
10.5201/ipol.2016.117,IPOL,1,Ives Rey Otero
10.5201/ipol.2016.117,IPOL,2,Mauricio Delbracio
10.5201/ipol.2024.496,IPOL,1,Pranjal Choudhury
10.5201/ipol.2024.496,IPOL,2,Bosanta Ranjan Boruah
10.5201/ipol.2011.g_iics,IPOL,1,Pascal Getreuer
10.5201/ipol.2014.107,IPOL,1,Ana Belén Petro
10.5201/ipol.2014.107,IPOL,2,Catalina Sbert
10.5201/ipol.2014.107,IPOL,3,Jean-Michel Morel
10.5201/ipol.2021.296,IPOL,1,Yuchen He
10.5201/ipol.2021.296,IPOL,2,Sung Ha Kang
10.5201/ipol.2021.296,IPOL,3,Luis Álvarez
10.5201/ipol.2025.566,IPOL,1,Akash Malhotra
10.5201/ipol.2025.566,IPOL,2,Nacéra Seghouani
10.5201/ipol.2019.274,IPOL,1,Thibaud Ehret
10.5201/ipol.2019.274,IPOL,2,Gabriele Facciolo
10.5201/ipol.2011.lmps_rpe,IPOL,1,Nicolas Limare
10.5201/ipol.2011.lmps_rpe,IPOL,2,Ana Belén Petro
10.5201/ipol.2011.lmps_rpe,IPOL,3,Catalina Sbert
10.5201/ipol.2011.lmps_rpe,IPOL,4,Jean-Michel Morel
10.5201/ipol.2022.416,IPOL,1,Tristan Dagobert
10.5201/ipol.2022.416,IPOL,2,Rafael Grompone von Gioi
10.5201/ipol.2022.416,IPOL,3,Carlo de Franchis
10.5201/ipol.2022.416,IPOL,4,Charles Hessel
10.5201/ipol.2014.105,IPOL,1,Enric Meinhardt-Llopis
10.5201/ipol.2014.105,IPOL,2,Mario Micheli
10.5201/ipol.2012.g-tvdc,IPOL,1,Pascal Getreuer
10.5201/ipol.2013.52,IPOL,1,Yi-Qing Wang
10.5201/ipol.2011.ys-dct,IPOL,1,Guoshen Yu
10.5201/ipol.2011.ys-dct,IPOL,2,Guillermo Sapiro
10.5201/ipol.2014.98,IPOL,1,Antoni Buades
10.5201/ipol.2014.98,IPOL,2,Bartomeu Coll
10.5201/ipol.2014.98,IPOL,3,Joan Duran
10.5201/ipol.2014.98,IPOL,4,Catalina Sbert
10.5201/ipol.2022.432,IPOL,1,Marina Gardella
10.5201/ipol.2022.432,IPOL,2,Pablo Musé
10.5201/ipol.2016.150,IPOL,1,Yi-Qing Wang
10.5201/ipol.2012.admm-nppsf,IPOL,1,Mauricio Delbracio
10.5201/ipol.2012.admm-nppsf,IPOL,2,Pablo Musé
10.5201/ipol.2012.admm-nppsf,IPOL,3,Andrés Almansa
10.5201/ipol.2019.257,IPOL,1,Thibaud Briand
10.5201/ipol.2019.257,IPOL,2,Axel Davy
10.5201/ipol.2023.418,IPOL,1,Vincent Vidal
10.5201/ipol.2023.418,IPOL,2,Lucas Dubouchet
10.5201/ipol.2023.418,IPOL,3,Guillaume Lavoué
10.5201/ipol.2023.418,IPOL,4,Pierre Alliez
10.5201/ipol.2019.243,IPOL,1,Jérémy Anger
10.5201/ipol.2019.243,IPOL,2,Gabriele Facciolo
10.5201/ipol.2019.243,IPOL,3,Mauricio Delbracio
10.5201/ipol.2023.389,IPOL,1,Charles Truong
10.5201/ipol.2023.389,IPOL,2,Mounir Atiq
10.5201/ipol.2023.389,IPOL,3,Ludovic Minvielle
10.5201/ipol.2023.389,IPOL,4,Renan Serra
10.5201/ipol.2023.389,IPOL,5,Mathilde Mougeot
10.5201/ipol.2023.389,IPOL,6,Nicolas Vayatis
10.5201/ipol.2025.583,IPOL,1,Alexandre Achard-de Lustrac
